gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
LOC100219145,2.9794990833373326e-46,-0.19702253986133172,0.11,0.204,5.193266902256971e-42
ACVR2A,5.210324264248662e-46,0.18398704681619282,0.88,0.881,9.081595192585418e-42
HBAA,7.980939169403661e-46,0.11684408796256252,0.183,0.303,1.3910776972270583e-41
DERA,9.974832937636891e-46,-0.13342738857082592,0.022,0.077,1.7386133810301103e-41
WBP2,1.151764839030394e-45,-0.1738020831990869,0.145,0.251,2.0075261144299766e-41
CDC23,1.4055363231616242e-45,-0.10092984561675607,0.003,0.04,2.449849811270711e-41
B3GALT5,1.4495051455080285e-45,0.31313141568822767,0.491,0.42,2.5264874686204937e-41
GAB1,1.687592161394965e-45,-0.1801778704347916,0.159,0.267,2.941473137311424e-41
TGFB2,1.69246550856784e-45,-0.19512217468869575,0.086,0.172,2.949967381433745e-41
ABCD4,2.494439502532583e-45,-0.17958560526270817,0.121,0.217,4.3478080529142923e-41
DDX24,2.5750451846820896e-45,-0.14915461342521122,0.047,0.116,4.4883037569008824e-41
TIMM29,2.6621191320029306e-45,0.2636499720775004,0.156,0.079,4.640073647081108e-41
SYNDIG1L,3.617802247736255e-45,-0.19748386282685826,0.432,0.574,6.305829317804293e-41
ANOS1,8.430242874670541e-45,0.2780966348759908,0.188,0.105,1.4693913330550754e-40
MAPK8IP2,9.283672248174467e-45,-0.1312266830324707,0.025,0.081,1.6181440728568096e-40
SSBP2,9.50243669791819e-45,-0.2000756737963938,0.563,0.699,1.6562747164471404e-40
LOC100230049,1.1002671156036796e-44,0.26628686045929745,0.184,0.101,1.9177655824972136e-40
ECSIT,1.3109974217424146e-44,0.2403518268914804,0.161,0.083,2.2850685060970285e-40
UNC13C,1.4634017494108902e-44,-0.20588549926567712,0.214,0.33,2.5507092492231816e-40
CACNA2D1,1.6993682863404783e-44,0.14244658505986063,0.929,0.926,2.9619989230914536e-40
LOC115493143,1.7192540686437058e-44,-0.150048888193923,0.039,0.103,2.996659841645979e-40
KCNQ5,2.0788556478514066e-44,-0.22098820512370065,0.487,0.614,3.623445394205002e-40
NOL4,2.822340420628457e-44,-0.19226322446283006,0.252,0.378,4.919339353155401e-40
NEIL3,4.04561355566457e-44,-0.1184765598356561,0.014,0.061,7.051504427523346e-40
RTN4,6.284339080089929e-44,0.17106557136905254,0.882,0.877,1.0953603016596746e-39
NRXN1,6.600192126296366e-44,-0.1176843705553452,0.968,0.98,1.1504134876134566e-39
FIG4,7.809574496677418e-44,-0.18798954317662359,0.147,0.249,1.361208834770874e-39
LOC100222883,9.855096689370672e-44,0.1136216336281771,0.04,0.004,1.717743352957308e-39
NCKAP5,1.0351960512311473e-43,-0.2171415500803069,0.132,0.228,1.8043467172958897e-39
MACF1,1.458755075086775e-43,0.22300267897556303,0.673,0.649,2.542610095876249e-39
LOC115492562,1.5374278964754799e-43,-0.18469776231604385,0.312,0.448,2.6797368235567614e-39
PTPRM,1.7050580853769364e-43,-0.28742719314062115,0.481,0.591,2.971916242812e-39
